name,base_speed
フシギバナ,80
リザードン,100
カメックス,78
バタフリー,70
スピアー,145
ピジョット,101
ラッタ,97
オニドリル,100
アーボック,80
ライチュウ,110
サンドパン,65
ニドクイン,76
ニドキング,85
ピクシー,60
キュウコン,100
プクリン,45
ラフレシア,50
キレイハナ,50
パラセクト,30
モルフォン,90
ダグトリオ,120
ペルシアン,115
ゴルダック,85
オコリザル,95
ウインディ,95
ニョロボン,70
ニョロトノ,70
フーディン,120
カイリキー,55
ウツボット,70
ドククラゲ,100
ゴローニャ,45
ギャロップ,105
ヤドラン,30
ヤドキング,30
デンリュウ,55
ジュゴン,70
ベトベトン,50
パルシェン,70
ゲンガー,110
ハガネール,30
スリーパー,67
キングラー,75
マルマイン,150
ナッシー,55
ガラガラ,45
サワムラー,87
エビワラー,76
カポエラー,70
マタドガス,60
カイロス,85
ケンタロス,110
ギャラドス,81
ラプラス,60
メタモン,48
シャワーズ,65
サンダース,130
ブースター,65
エーフィ,110
ブラッキー,65
オムスター,55
カブトプス,80
プテラ,130
カビゴン,30
ミュウツー,130
ミュウ,100
メガニウム,80
バクフーン,100
オーダイル,78
オオタチ,90
ヨルノズク,70
レディアン,85
アリアドス,40
ランターン,67
ネイティオ,95
ウソッキー,30
マリルリ,50
キリンリキ,85
ソーナンス,33
キマワリ,30
ヌオー,35
ハリーセン,85
ツボツボ,5
ヘラクロス,85
リングマ,55
オクタン,45
デリバード,75
マンタイン,70
エアームド,70
ドンファン,50
グランブル,45
ルージュラ,95
ミルタンク,100
ハピナス,55
ライコウ,115
エンテイ,100
スイクン,85
バンギラス,61
ジュカイン,120
バシャーモ,80
ラグラージ,60
ケッキング,100
テッカニン,160
アゲハント,65
ドクケイル,65
オオスバメ,125
ペリッパー,65
ダーテング,80
アブソル,75
ペリッパー,65
ライボルト,105
プラスル,95
マイナン,95
バクオング,68
ハリテヤマ,50
ルンパッパ,70
キノガッサ,70
ヤミラミ,50
クチート,50
コータス,20
ネンドール,75
ボスゴドラ,50
ホエルオー,60
シザリガー,55
アーマルド,45
アブソル,75
オニゴーリ,80
サメハダー,95
ホエルオー,60
ナマズン,60
キングドラ,85
バクーダ,40
フライゴン,100
チルタリス,80
キングドラ,85
マルノーム,60
ハブネーク,65
ザングース,90
メタグロス,70
レジロック,50
レジアイス,50
レジスチル,50
ラティアス,110
ラティオス,110
カイオーガ,90
グラードン,90
レックウザ,95
ジラーチ,100
デオキシス（ノーマル）,150
ポケモン名,すばやさ
ドダイトス,56
ゴウカザル,108
エンペルト,60
ビーダル,71
ムクホーク,100
レントラー,70
ロズレイド,90
ビークイン,40
ガブリアス,102
フローゼル,115
ミミロップ,105
ムウマージ,105
ドンカラス,71
ビークイン,40
チェリム,85
ドータクン,33
エテボース,115
ガーメイル,66
ミノマダム（草/地/鋼）,36
ガーメイル,66
ミカルゲ,35
ガブリアス,102
ルカリオ,90
ドラピオン,95
ブーバーン,83
エレキブル,95
トリトドン,39
スカタンク,84
ドクロッグ,85
マニューラ,125
ユキノオー,60
ドータクン,33
カバルドン,47
トゲキッス,80
エルレイド,80
ヨノワール,45
ユキメノコ,110
ロトム（基本形）,86
ヒートロトム,86
ウォッシュロトム,86
フロストロトム,86
スピンロトム,86
カットロトム,86
ユクシー,95
アグノム,115
エムリット,80
ディアルガ,90
パルキア,100
ヒードラン,77
レジギガス,100
ギラティナ（アナザー）,90
ギラティナ（オリジン）,90
クレセリア,85
フィオネ,80
マナフィ,100
ダークライ,125
シェイミ（ランド）,100
シェイミ（スカイ）,127
アルセウス,120
ジャローダ,113
エンブオー,65
ダイケンキ,70
ムーランド,80
レパルダス,106
ゼブライカ,116
ハハコモリ,92
ココロモリ,114
ドリュウズ,88
ギガイアス,25
ローブシン,45
オノノクス,97
ウォーグル,80
バッフロン,55
ズルズキン,58
シャンデラ,80
ランクルス,30
エルフーン,116
デスカーン,30
ガマゲロゲ,74
ナットレイ,20
ギギギアル,90
シビルドン,50
クリムガン,48
ゴルーグ,55
ワルビアル,92
アバゴーラ,32
アーケオス,110
サザンドラ,98
ウルガモス,100
コバルオン,108
テラキオン,108
ビリジオン,108
トルネロス（化身）,111
